"","wouldvote","peacefactor","peace_formerenemies","peace_jjindiv","peace_jjtribes","gos_soldier_execute","directlyharmed","age","farmer_dar","herder_dar","pastvoted","hhsize_darfur","village","female"
"182",0,0,0,0,0,1,1,40,1,1,1,10,"Abu Geran",1
"184",1,0.797991567633998,1,1,1,1,0,45,1,0,0,7,"Abu Jidad",0
"185",0,0.202008432366002,0,0,0,0,1,76,1,1,0,19,"Abu Jidad",0
"186",1,0,0,0,0,1,0,29,0,0,1,6,"Abu Lihya",1
"187",0,1,1,1,1,0,1,42,1,1,1,25,"Abu Lihya",0
"188",1,0.202008432366002,0,0,0,0,0,54,0,1,1,12,"Abu Lihya",0
"191",0,0,0,0,0,1,0,21,1,0,1,15,"Abu Lihya",1
"193",0,0,0,0,0,1,0,43,1,0,0,12,"Abu Mugu",0
"195",0,0.202008432366002,0,0,0,0,0,60,1,0,0,8,"Abu Shouka",0
"198",0,0.706830720721758,0,1,1,0,0,53,1,0,1,8,"Abu Sorog",0
"199",0,0.202008432366002,0,0,0,0,1,35,0,0,1,8,"Abu Sorog",1
"201",1,0.202008432366002,0,0,0,0,0,60,1,0,1,15,"Abune",0
"202",0,0,0,0,0,1,0,27,0,0,1,3,"Adar",0
"203",0,0.202008432366002,0,0,0,0,0,28,1,1,1,7,"Adar",1
"204",1,1,1,1,1,0,0,35,1,0,1,17,"Adar",0
"206",0,1,1,1,1,0,1,67,1,0,0,9,"Adar",0
"209",0,0,0,0,0,1,0,29,0,0,1,3,"Adar",1
"210",1,0.293169279278242,1,0,0,1,0,84,1,1,1,24,"Adar",0
"213",0,0,0,0,0,1,1,65,1,1,1,14,"Adar",1
"215",0,0,0,0,0,1,0,24,0,0,0,19,"Adar",1
"216",1,1,1,1,1,0,1,39,0,0,0,6,"Adar",0
"217",0,0,0,0,0,1,1,38,1,1,1,10,"Adar",1
"219",1,0.293169279278242,1,0,0,1,1,24,1,1,1,12,"Adar",0
"220",1,1,1,1,1,0,1,40,0,0,0,26,"Adar",0
"221",1,0.299740708349675,0,0,1,1,0,28,1,0,1,6,"Adar",0
"223",0,1,1,1,1,0,0,62,1,0,0,13,"Adar",0
"224",1,0.706830720721758,0,1,1,0,1,30,0,0,1,12,"Adar",0
"225",1,0.202008432366002,0,0,0,0,1,58,1,0,1,16,"Adar",0
"227",1,0.498250859284323,1,1,0,1,0,40,1,0,1,7,"Adar",0
"228",0,0.797991567633998,1,1,1,1,0,25,1,0,0,1,"Adar",0
"231",0,0,0,0,0,1,0,70,1,0,1,8,"Adar",1
"232",0,0.299740708349675,0,0,1,1,1,27,0,0,1,10,"Adar",0
"233",1,0.299740708349675,0,0,1,1,1,37,1,1,0,6,"Adar",0
"234",1,0.293169279278242,1,0,0,1,0,20,1,1,1,12,"Adar",0
"235",0,0.202008432366002,0,0,0,0,1,35,1,0,1,20,"Adar",1
"239",0,0.202008432366002,0,0,0,0,0,40,1,0,0,11,"Adar",1
"240",0,0,0,0,0,1,1,39,0,1,1,9,"Adar",1
"241",0,0.202008432366002,0,0,0,0,1,66,1,0,0,13,"Adar",0
"242",0,0.592909987627917,1,0,1,1,0,28,1,0,1,10,"Adar",1
"244",0,0,0,0,0,1,0,50,1,0,1,4,"Adar",1
"245",1,0.797991567633998,1,1,1,1,1,55,1,0,0,14,"Adar",0
"246",1,0.592909987627917,1,0,1,1,1,30,1,0,1,8,"Adar",0
"249",0,0.495177711644244,1,0,0,0,0,39,1,0,0,10,"Agadier",0
"251",1,0,0,0,0,1,1,21,1,1,1,9,"Agudna",1
"252",0,0,0,0,0,1,0,19,1,0,1,7,"Agumi",1
"254",0,0.797991567633998,1,1,1,1,1,18,0,0,1,7,"Aid Alkhair",0
"256",0,0.299740708349675,0,0,1,1,0,85,1,1,1,5,"Aid Alkhair",1
"258",0,0.592909987627917,1,0,1,1,0,42,0,0,1,25,"Aid Alkhair",0
"259",1,0,0,0,0,1,1,50,1,0,0,9,"Airgy",0
"260",0,1,1,1,1,0,1,35,1,1,1,15,"Aish Barra",1
"261",1,0.202008432366002,0,0,0,0,1,38,1,0,1,4,"Aish Barra",0
"262",0,0,0,0,0,1,0,20,1,0,1,8,"Aish Barra",1
"263",0,0,0,0,0,1,0,41,1,1,0,7,"Aish Barra",1
"264",0,0.794918419993918,1,0,1,0,0,26,1,0,1,7,"Aish Barra",0
"265",0,0,0,0,0,1,0,21,1,0,1,3,"Ajayana",0
"266",0,0.794918419993918,1,0,1,0,0,28,1,0,1,3,"Ajiji",0
"268",0,0,0,0,0,1,0,35,1,0,1,6,"Akomi",1
"271",0,0.706830720721758,0,1,1,0,1,23,0,0,1,14,"Al Gedisa",1
"274",1,1,1,1,1,0,1,44,0,0,0,18,"Al Geneina",0
"275",0,0,0,0,0,1,0,47,1,0,1,16,"Al Geneina",1
"278",1,0,0,0,0,1,0,40,1,0,1,5,"Allah Forga",1
"279",0,0.202008432366002,0,0,0,0,1,20,1,0,1,8,"Almetrabia",0
"284",0,0,0,0,0,1,0,38,0,0,0,15,"Am Baro",1
"287",0,0,0,0,0,1,0,35,1,0,1,5,"Am Baro",1
"290",0,0.293169279278242,1,0,0,1,0,80,1,1,1,7,"Am Baro",1
"291",1,1,1,1,1,0,0,60,1,1,0,15,"Am Baro",0
"292",1,0.794918419993918,1,0,1,0,1,23,0,0,1,11,"Am Dalal",0
"293",1,0.501749140715677,0,0,1,0,1,57,1,0,1,11,"Am Dalal",0
"294",1,0.794918419993918,1,0,1,0,1,46,1,0,1,5,"Am Dalal",0
"295",1,0.495177711644244,1,0,0,0,0,55,1,1,0,10,"Am Dariro",0
"296",0,0,0,0,0,1,0,35,1,0,1,8,"Am Dukhn",1
"298",1,1,1,1,1,0,1,40,1,0,1,20,"Am Jarad",0
"300",1,0.495177711644244,1,0,0,0,0,50,1,0,0,10,"Am Jemma",0
"301",0,0,0,0,0,1,1,40,1,0,0,21,"Am Kharouba",1
"304",0,0,0,0,0,1,1,28,1,0,1,7,"Amar",1
"305",1,0,0,0,0,1,0,50,1,0,1,8,"Amdukhn",1
"309",1,0.794918419993918,1,0,1,0,0,50,1,0,0,4,"Andabook",0
"312",0,0.202008432366002,0,0,0,0,1,25,1,0,1,10,"Anderola",1
"314",0,1,1,1,1,0,1,60,1,1,1,3,"Andita",1
"315",0,0,0,0,0,1,0,35,1,0,1,7,"Andita",0
"320",0,0.797991567633998,1,1,1,1,0,37,1,0,0,5,"Anjilati",0
"321",0,0.592909987627917,1,0,1,1,1,48,1,0,0,10,"Anjokati",0
"323",0,0.202008432366002,0,0,0,0,0,20,1,0,1,9,"Aorda",1
"324",0,0,0,0,0,1,0,35,1,1,0,4,"Aradeeba",1
"326",1,0,0,0,0,1,0,46,1,0,0,30,"Arara",0
"327",0,0,0,0,0,1,0,18,1,0,0,6,"Arara",1
"328",0,0.299740708349675,0,0,1,1,0,35,1,0,1,8,"Arara",1
"330",0,0.797991567633998,1,1,1,1,0,25,1,0,1,2,"Arara",0
"331",0,0.706830720721758,0,1,1,0,0,45,1,0,1,16,"Arara",0
"332",0,0.293169279278242,1,0,0,1,0,23,0,0,0,13,"Arara",1
"335",1,0.495177711644244,1,0,0,0,1,63,1,1,0,10,"Argote",0
"336",0,1,1,1,1,0,1,90,1,1,0,15,"Argoy",0
"337",0,0,0,0,0,1,0,45,1,0,1,12,"Arimba",1
"338",0,0.202008432366002,0,0,0,0,1,33,1,0,0,8,"Armi",1
"339",0,0,0,0,0,1,1,20,1,0,1,9,"Arola",1
"341",1,0,0,0,0,1,1,90,0,0,0,15,"Aroom",0
"342",0,0,0,0,0,1,1,27,1,0,1,3,"Aroom",1
"343",1,0,0,0,0,1,0,24,1,0,1,7,"Aroom",1
"344",0,0,0,0,0,1,0,25,1,0,1,20,"Aroom",1
"345",0,0,0,0,0,1,1,35,1,0,1,8,"Aroom",1
"346",0,0,0,0,0,1,1,35,1,1,1,7,"Aroom",1
"348",0,0,0,0,0,1,1,18,1,0,1,12,"Aroom",1
"350",0,0,0,0,0,1,1,27,1,0,1,5,"Aroom",1
"351",0,0,0,0,0,1,1,27,1,0,0,23,"Aroom",1
"352",0,0.202008432366002,0,0,0,0,1,18,1,0,1,6,"Aroom",1
"355",0,0,0,0,0,1,1,53,1,0,0,10,"Aroom",0
"356",1,1,1,1,1,0,0,40,1,0,0,5,"Arsa",0
"357",1,0.495177711644244,1,0,0,0,0,58,1,0,0,14,"Arsaliya",0
"358",0,0,0,0,0,1,0,28,1,0,1,4,"Asirni",1
"359",0,1,1,1,1,0,0,35,1,0,1,8,"Asirni",0
"360",0,0,0,0,0,1,1,27,0,0,1,12,"Asirni",1
"363",0,0,0,0,0,1,1,100,1,0,1,5,"Asirni",1
"365",0,0.794918419993918,1,0,1,0,1,19,0,1,1,5,"Ata",0
"367",0,0.293169279278242,1,0,0,1,1,45,1,0,0,3,"Aurab",1
"368",0,0.495177711644244,1,0,0,0,0,22,1,0,1,9,"AwSanga",1
"369",1,0.202008432366002,0,0,0,0,1,27,0,0,0,28,"Awrish",0
"371",1,0.202008432366002,0,0,0,0,0,30,1,0,1,13,"Badaria",0
"372",0,0,0,0,0,1,1,40,1,1,1,10,"Bajourba",1
"373",0,0.293169279278242,1,0,0,1,1,50,1,0,0,10,"Bakjo",0
"374",1,0.293169279278242,1,0,0,1,0,66,1,0,0,5,"Baldi",0
"376",0,0.202008432366002,0,0,0,0,1,35,1,0,1,5,"Bandis",1
"377",0,0,0,0,0,1,0,18,0,0,1,7,"Bandis",0
"379",0,0,0,0,0,1,0,60,1,0,1,22,"Bandis",1
"380",0,0,0,0,0,1,1,55,0,1,1,10,"Bandis",1
"381",0,0.202008432366002,0,0,0,0,1,22,1,0,1,6,"Bandis",1
"382",1,0,0,0,0,1,0,47,1,0,1,6,"Bandis",0
"383",0,0.202008432366002,0,0,0,0,1,28,1,0,1,18,"Bandis",1
"384",1,0.202008432366002,0,0,0,0,0,35,1,0,0,22,"Bandis",1
"386",0,0,0,0,0,1,1,33,1,0,1,20,"Bandis",1
"387",0,0.501749140715677,0,0,1,0,1,20,1,0,1,10,"Bandis",1
"389",1,0.501749140715677,0,0,1,0,0,26,1,0,1,2,"Bango",0
"390",0,0.202008432366002,0,0,0,0,1,77,1,0,0,20,"Baranga",0
"392",1,0.495177711644244,1,0,0,0,1,40,1,0,0,34,"Baranga",0
"393",0,0.202008432366002,0,0,0,0,0,85,1,0,0,7,"Bardia",0
"394",1,1,1,1,1,0,0,55,1,0,0,10,"Bardia",0
"395",1,0,0,0,0,1,1,30,1,0,1,8,"Bardia",0
"396",0,0,0,0,0,1,0,35,1,0,0,3,"Bare",1
"397",1,0.501749140715677,0,0,1,0,1,21,1,0,0,8,"Barkhalla",0
"400",0,0.794918419993918,1,0,1,0,0,40,1,1,0,16,"Basaw",1
"402",1,0,0,0,0,1,0,27,1,0,0,3,"Beero",1
"403",1,0.797991567633998,1,1,1,1,0,26,0,0,1,9,"Beida",0
"404",0,0,0,0,0,1,0,30,1,0,1,10,"Beida",1
"406",0,0.293169279278242,1,0,0,1,0,40,1,0,0,8,"Beida",1
"407",1,0,0,0,0,1,0,27,0,1,1,7,"Beida",1
"410",1,0.794918419993918,1,0,1,0,1,25,1,0,1,5,"Beida",0
"411",0,0,0,0,0,1,0,18,0,0,1,7,"Beida",0
"412",0,0.495177711644244,1,0,0,0,0,20,1,0,1,5,"Beida",1
"413",0,0,0,0,0,1,0,70,1,0,0,11,"Beida",1
"416",1,1,1,1,1,0,1,19,1,0,0,8,"Beida",0
"417",0,1,1,1,1,0,0,34,0,0,0,3,"Beida",0
"418",0,0,0,0,0,1,0,20,1,0,1,5,"Beida",1
"419",1,0.592909987627917,1,0,1,1,0,48,1,0,0,6,"Beida",0
"421",0,1,1,1,1,0,0,43,1,0,0,13,"Beida",0
"422",0,1,1,1,1,0,0,26,1,0,0,3,"Beida",0
"424",0,0.299740708349675,0,0,1,1,1,31,1,0,0,3,"Beida",1
"425",1,0.501749140715677,0,0,1,0,0,27,1,0,1,4,"Beir Saliba",1
"426",1,0.293169279278242,1,0,0,1,0,25,1,0,0,9,"Beir Saliba",1
"427",0,0.794918419993918,1,0,1,0,0,57,0,0,1,14,"Beir Saliba",0
"428",1,0,0,0,0,1,1,38,1,0,0,10,"Beir Saliba",0
"429",0,0.202008432366002,0,0,0,0,0,27,1,0,1,5,"Beir Saliba",1
"430",0,0.293169279278242,1,0,0,1,0,37,0,0,0,6,"Beir Saliba",0
"431",0,0.202008432366002,0,0,0,0,0,18,0,0,1,10,"Beir Saliba",0
"432",1,0,0,0,0,1,0,52,1,0,0,15,"Beir Saliba",0
"433",1,0.495177711644244,1,0,0,0,1,43,1,1,1,8,"Beir Saliba",0
"434",0,0.202008432366002,0,0,0,0,0,46,1,0,0,11,"Beir Saliba",0
"435",0,0.797991567633998,1,1,1,1,0,43,1,0,1,7,"Beir Saliba",0
"437",0,0.592909987627917,1,0,1,1,0,20,1,0,1,7,"Beir Saliba",1
"438",0,0.592909987627917,1,0,1,1,0,67,1,0,1,8,"Beir Saliba",1
"440",1,0.495177711644244,1,0,0,0,0,33,1,0,0,5,"Berdia",0
"442",1,0.293169279278242,1,0,0,1,1,19,0,0,1,5,"Bireiga",0
"443",1,0.202008432366002,0,0,0,0,1,20,1,0,1,5,"Bertabid",1
"445",1,1,1,1,1,0,0,26,1,0,1,8,"Bida Alginina",0
"446",0,0,0,0,0,1,0,35,1,0,0,8,"Bidigy",1
"447",1,0.592909987627917,1,0,1,1,1,53,1,1,1,13,"Bidt Faraga",0
"448",0,0.797991567633998,1,1,1,1,0,59,1,0,1,33,"Bier Saliba",0
"449",1,0,0,0,0,1,0,37,1,0,1,15,"Biera",0
"450",0,0,0,0,0,1,1,25,1,0,1,10,"Bigaga",1
"451",0,0.202008432366002,0,0,0,0,0,53,1,0,0,10,"Binary Mbila",0
"452",1,0.794918419993918,1,0,1,0,1,51,1,0,1,40,"Bindis",0
"453",1,0.293169279278242,1,0,0,1,0,40,0,0,0,13,"Bindis",0
"454",1,0.293169279278242,1,0,0,1,0,59,1,1,1,6,"Bindis",0
"455",1,0,0,0,0,1,1,35,1,0,1,16,"Bindis",0
"456",0,0,0,0,0,1,1,37,1,0,1,12,"Bindis",1
"459",0,0.293169279278242,1,0,0,1,0,40,0,0,0,5,"Bindis",0
"460",0,0,0,0,0,1,0,26,1,0,1,8,"Bindis",1
"461",0,0.202008432366002,0,0,0,0,1,20,1,1,1,8,"Bindis",1
"462",0,0.293169279278242,1,0,0,1,0,80,1,0,0,5,"Bindis",0
"464",1,0.202008432366002,0,0,0,0,1,64,1,1,0,14,"Bindis",0
"465",1,0.794918419993918,1,0,1,0,0,35,1,0,1,4,"Bindis",1
"466",1,0.794918419993918,1,0,1,0,1,43,1,0,0,16,"Bindis",0
"467",1,0,0,0,0,1,1,26,1,0,0,7,"Bindis",1
"468",1,0.794918419993918,1,0,1,0,1,29,1,0,0,2,"Bindis",0
"469",1,0.501749140715677,0,0,1,0,1,41,1,0,1,8,"Bindis",1
"470",0,0.495177711644244,1,0,0,0,1,69,1,0,1,9,"Binediyah",0
"471",1,0.797991567633998,1,1,1,1,1,32,1,0,1,4,"Biot Mofarag",0
"473",1,0.794918419993918,1,0,1,0,0,19,0,0,0,7,"Bir Tabat",0
"474",1,0.495177711644244,1,0,0,0,1,49,1,0,1,17,"Bir Tabat",0
"477",1,0.504822288355756,0,1,1,1,0,48,1,0,1,13,"Birdeya",0
"478",0,0,0,0,0,1,0,20,1,0,1,8,"Birdeya",1
"480",1,0.501749140715677,0,0,1,0,1,50,1,1,1,8,"Birgy",1
"481",0,0.293169279278242,1,0,0,1,1,35,1,0,1,8,"Birhaliba",1
"482",1,0.495177711644244,1,0,0,0,0,37,1,0,1,9,"Birtabit",0
"483",1,0.202008432366002,0,0,0,0,0,20,1,0,1,2,"Bla Al Biyya",1
"485",0,0.592909987627917,1,0,1,1,0,26,1,0,1,7,"Boba",1
"486",0,0,0,0,0,1,1,35,1,0,1,3,"Boba",1
"488",0,0.592909987627917,1,0,1,1,0,65,1,1,1,7,"Boba",1
"489",0,0,0,0,0,1,0,54,1,0,1,10,"Boranga",0
"490",1,0,0,0,0,1,1,19,1,0,1,5,"Borat",1
"491",1,0.794918419993918,1,0,1,0,1,33,1,1,0,4,"Borgio",0
"492",1,0.495177711644244,1,0,0,0,1,90,1,0,0,6,"Boymawang",0
"494",0,0,0,0,0,1,0,23,1,0,1,4,"Brega",0
"495",0,0,0,0,0,1,1,40,1,0,1,6,"Brega",1
"497",0,0.797991567633998,1,1,1,1,0,25,0,0,1,6,"Brega",0
"498",1,0.797991567633998,1,1,1,1,1,48,1,0,1,16,"Bukar",0
"500",1,0.202008432366002,0,0,0,0,0,28,1,0,1,3,"Coda Mee",0
"502",0,0,0,0,0,1,0,30,1,0,1,4,"Congi",1
"504",0,0,0,0,0,1,1,30,1,0,1,6,"Dabaky",1
"506",0,0,0,0,0,1,1,38,1,0,1,9,"Dabis",1
"507",0,0,0,0,0,1,0,40,1,0,0,6,"Dagjor",1
"508",1,0,0,0,0,1,0,36,1,0,1,4,"Dagjor",0
"509",0,0.293169279278242,1,0,0,1,0,55,1,0,0,7,"Dalta",0
"514",1,0.202008432366002,0,0,0,0,1,20,0,0,1,9,"Damra",1
"515",1,0.202008432366002,0,0,0,0,1,29,0,0,1,18,"Damra",0
"516",1,0.797991567633998,1,1,1,1,1,40,1,0,0,14,"Damra",0
"519",0,0.202008432366002,0,0,0,0,1,36,1,1,1,10,"Damra",1
"520",0,0,0,0,0,1,1,38,1,0,1,3,"Damra",0
"521",0,1,1,1,1,0,0,45,1,0,0,8,"Dangojaro",1
"523",1,0,0,0,0,1,1,43,1,0,0,13,"Danko",0
"527",0,0,0,0,0,1,1,35,1,0,0,8,"Dardure",1
"528",1,0.794918419993918,1,0,1,0,1,56,1,1,1,9,"Dargily",0
"530",0,0,0,0,0,1,0,28,1,0,1,4,"Dasa",1
"533",0,0,0,0,0,1,0,37,1,0,0,6,"Deegada",0
"534",0,0,0,0,0,1,0,23,1,0,1,6,"Deero",0
"535",1,0,0,0,0,1,1,25,1,0,1,15,"Dengar",0
"537",0,0,0,0,0,1,0,29,1,0,1,6,"Derenda",0
"540",0,0,0,0,0,1,0,26,1,0,1,17,"Derisa",1
"543",1,0.700259291650325,1,1,0,0,1,45,1,0,1,9,"Dinbo Kabdi",1
"544",0,0,0,0,0,1,1,37,1,0,0,13,"Dingajour",1
"545",0,0.299740708349675,0,0,1,1,0,25,1,0,1,13,"Dinjir",1
"546",0,0,0,0,0,1,0,37,1,0,1,10,"Dirdkna",0
"548",1,0.794918419993918,1,0,1,0,1,67,1,1,1,16,"Dirgily",0
"549",1,1,1,1,1,0,1,36,1,0,1,13,"Diria",0
"550",0,0,0,0,0,1,1,45,1,1,1,18,"Dirisa",1
"552",1,0.202008432366002,0,0,0,0,1,23,1,0,0,2,"Dirisa",0
"553",1,0.202008432366002,0,0,0,0,0,33,1,1,1,6,"Diro",0
"554",0,0.293169279278242,1,0,0,1,1,40,1,0,0,6,"Diro",1
"556",1,0.501749140715677,0,0,1,0,0,41,1,0,0,6,"Dofata",0
"560",1,0.794918419993918,1,0,1,0,1,36,1,0,1,5,"Dongita",0
"564",0,0,0,0,0,1,0,35,1,1,1,7,"Doty",1
"565",1,0.592909987627917,1,0,1,1,0,25,1,0,0,7,"Doudata",0
"567",1,0.797991567633998,1,1,1,1,0,37,1,0,1,7,"Driol",0
"568",0,0,0,0,0,1,0,35,1,0,0,5,"Dunjurou",1
"570",0,1,1,1,1,0,0,75,1,0,1,12,"Eid Elkhair",0
"572",0,0,0,0,0,1,0,27,1,0,1,3,"Eish Bida",1
"576",1,1,1,1,1,0,1,53,0,0,0,5,"El Fasher",0
"577",1,0.794918419993918,1,0,1,0,0,35,1,0,0,7,"El Fasher",0
"579",0,0.202008432366002,0,0,0,0,0,33,1,0,1,7,"Fanginta",1
"580",1,0,0,0,0,1,0,45,0,0,1,8,"Farne",1
"582",0,1,1,1,1,0,0,24,1,0,1,6,"Few",0
"585",0,0,0,0,0,1,0,40,1,0,1,5,"Fokdo",1
"586",0,0.293169279278242,1,0,0,1,0,59,1,0,0,9,"Fondlayat",0
"587",1,1,1,1,1,0,1,21,1,0,1,5,"Fonu",0
"588",0,0,0,0,0,1,0,25,1,0,1,8,"Fonu",1
"590",0,0.202008432366002,0,0,0,0,0,70,1,0,0,8,"Fur Baranga",1
"592",0,0,0,0,0,1,0,59,1,0,0,16,"Fur Barenga",0
"593",1,1,1,1,1,0,1,25,0,0,0,9,"Fur Barenga",0
"594",0,0,0,0,0,1,0,45,1,0,1,7,"FuraWiya",1
"595",0,1,1,1,1,0,1,37,0,0,0,7,"Furawiya",0
"597",0,0.592909987627917,1,0,1,1,0,45,1,1,1,6,"Furawiya",1
"598",0,0.592909987627917,1,0,1,1,0,50,1,1,0,5,"Furawiya",1
"599",1,0.299740708349675,0,0,1,1,0,50,1,0,1,9,"Furawiya",1
"601",0,0.592909987627917,1,0,1,1,0,20,1,0,1,10,"Furawiya",1
"602",1,0,0,0,0,1,1,41,0,0,1,12,"Furawiya",0
"603",0,0.794918419993918,1,0,1,0,0,40,1,0,1,8,"Furawiya",1
"608",1,0.299740708349675,0,0,1,1,0,28,0,0,1,22,"Furawiya",1
"609",0,0,0,0,0,1,0,24,1,0,1,11,"Furawiya",1
"610",1,0.794918419993918,1,0,1,0,1,43,1,0,0,5,"Furawiya",0
"611",0,0,0,0,0,1,0,25,0,0,0,11,"Furawiya",1
"612",0,0.293169279278242,1,0,0,1,0,29,1,0,1,5,"Furawiya",1
"613",1,0.495177711644244,1,0,0,0,0,41,0,0,1,17,"Furawiya",0
"614",1,0.797991567633998,1,1,1,1,1,51,1,1,1,8,"Furawiya",0
"618",0,0.495177711644244,1,0,0,0,1,25,0,0,0,9,"Furawiya",0
"619",0,0.794918419993918,1,0,1,0,1,25,1,0,1,5,"Furawiya",1
"620",1,0.592909987627917,1,0,1,1,1,21,0,0,1,9,"Furawiya",0
"621",0,0,0,0,0,1,0,28,1,0,1,6,"Furawiya",1
"622",1,1,1,1,1,0,1,24,1,1,1,12,"Furawiya",0
"623",1,1,1,1,1,0,1,28,1,0,1,11,"Furawiya",0
"625",1,0.794918419993918,1,0,1,0,1,63,1,0,0,9,"Furawiya",0
"628",1,0,0,0,0,1,0,54,1,0,0,7,"Furawiya",0
"630",0,0,0,0,0,1,0,40,1,0,1,8,"Furawiya",1
"634",0,1,1,1,1,0,1,37,1,1,0,7,"Furawiya",1
"635",1,0.794918419993918,1,0,1,0,1,68,1,0,0,9,"Furawiya",0
"639",0,0,0,0,0,1,0,33,1,0,1,9,"Furawiya",1
"640",0,0.797991567633998,1,1,1,1,1,35,1,1,0,9,"Furawiya",1
"642",0,0.495177711644244,1,0,0,0,0,25,1,1,1,2,"Furawiya",1
"645",0,0.797991567633998,1,1,1,1,0,37,1,0,1,21,"Furawiya",0
"647",0,0,0,0,0,1,0,67,1,0,0,7,"Furawiya",1
